POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
1;19;Porsche Team;Nico HÜLKENBERG;Earl BAMBER;Nick TANDY;;Porsche 919 Hybrid;M;LMP1;H;;Classified;395;24:00'42.784;;;235;3'18.596;247.1;
2;17;Porsche Team;Timo BERNHARD;Mark WEBBER;Brendon HARTLEY;;Porsche 919 Hybrid;M;LMP1;H;;Classified;394;24:00'42.916;1 Laps;1 Laps;303;3'18.186;247.6;
3;7;Audi Sport Team Joest;Marcel FÄSSLER;André LOTTERER;Benoît TRÉLUYER;;Audi R18 e-tron quattro;M;LMP1;H;;Classified;393;24:01'38.637;2 Laps;1 Laps;337;3'17.475;248.5;
4;8;Audi Sport Team Joest;Lucas DI GRASSI;Loïc DUVAL;Oliver JARVIS;;Audi R18 e-tron quattro;M;LMP1;H;;Classified;392;24:00'45.336;3 Laps;1 Laps;351;3'17.831;248.0;
5;18;Porsche Team;Romain DUMAS;Neel JANI;Marc LIEB;;Porsche 919 Hybrid;M;LMP1;H;;Classified;391;24:00'49.233;4 Laps;1 Laps;138;3'18.917;246.7;
6;2;Toyota Racing;Alexander WURZ;Stéphane SARRAZIN;Mike CONWAY;;Toyota TS 040 - Hybrid;M;LMP1;H;;Classified;387;24:01'08.581;8 Laps;4 Laps;318;3'22.633;242.1;
7;9;Audi Sport Team Joest;Filipe ALBUQUERQUE;Marco BONANOMI;René RAST;;Audi R18 e-tron quattro;M;LMP1;H;;Classified;387;24:03'43.663;8 Laps;2'35.082;62;3'17.647;248.2;
8;1;Toyota Racing;Anthony DAVIDSON;Sébastien BUEMI;Kazuki NAKAJIMA;;Toyota TS 040 - Hybrid;M;LMP1;H;;Classified;386;24:02'52.724;9 Laps;1 Laps;312;3'20.896;244.2;
9;47;KCMG;Matthew HOWSON;Richard BRADLEY;Nicolas LAPIERRE;;Oreca 05 - Nissan;D;LMP2;;;Classified;358;24:00'56.706;37 Laps;28 Laps;310;3'36.836;226.3;
10;38;JOTA Sport;Simon DOLAN;Mitch EVANS;Oliver TURVEY;;Gibson 015S - Nissan;D;LMP2;;;Classified;358;24:01'44.888;37 Laps;48.182;244;3'36.679;226.4;
