"",,"- 28 - ","55 ",68
"71 ","54 ","- 27 - ","53 ",67
"96 ","52 ","- 26 - ","51 ",66
"50 ","50 ","- 25 - ","49 ",62
"61 ","48 ","- 24 - ","47 ",55
"88 ","46 ","- 23 - ","45 ",77
"53 ","44 ","- 22 - ","43 ",64
"92 ","42 ","- 21 - ","41 ",72
"83 ","40 ","- 20 - ","39 ",91
"95 ","38 ","- 19 - ","37 ",97
"98 ","36 ","- 18 - ","35 ",51
"99 ","34 ","- 17 - ","33 ",45
"21 ","32 ","- 16 - ","31 ",23
"22 ","30 ","- 15 - ","29 ",4
"35 ","28 ","- 14 - ","27 ",40
"31 ","26 ","- 13 - ","25 ",30
"37 ","24 ","- 12 - ","23 ",42
"27 ","22 ","- 11 - ","21 ",29
"43 ","20 ","- 10 - ","19 ",28
"48 ","18 ","- 9 - ","17 ",34
"46 ","16 ","- 8 - ","15 ",36
"38 ","14 ","- 7 - ","13 ",41
"26 ","12 ","- 6 - ","11 ",47
"13 ","10 ","- 5 - ","9 ",12
"1 ","8 ","- 4 - ","7 ",2
"9 ","6 ","- 3 - ","5 ",7
"8 ","4 ","- 2 - ","3 ",19
"17 ","2 ","- 1 - ","1 ",18
