NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;1:45.653;0;;17.765;0;41.929;0;45.959;0;188.0;1:45.653;17:01:34.081;0:17.765;0:41.929;0:45.959;247.1;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;2;1:50.788;0;;23.495;0;41.339;0;45.954;0;179.2;3:36.441;17:03:24.869;0:23.495;0:41.339;0:45.954;276.2;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;3;1:48.989;0;;23.241;0;41.311;0;44.437;0;182.2;5:25.430;17:05:13.858;0:23.241;0:41.311;0:44.437;248.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;4;1:48.888;0;;23.368;0;41.210;0;44.310;0;182.4;7:14.318;17:07:02.746;0:23.368;0:41.210;0:44.310;251.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;5;1:48.479;0;;23.223;0;40.968;0;44.288;0;183.1;9:02.797;17:08:51.225;0:23.223;0:40.968;0:44.288;254.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;6;1:49.389;0;;23.318;0;41.009;0;45.062;0;181.5;10:52.186;17:10:40.614;0:23.318;0:41.009;0:45.062;254.1;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;7;1:51.424;0;;23.557;0;41.894;0;45.973;0;178.2;12:43.610;17:12:32.038;0:23.557;0:41.894;0:45.973;255.3;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;8;1:50.984;0;;23.985;0;42.273;0;44.726;0;178.9;14:34.594;17:14:23.022;0:23.985;0:42.273;0:44.726;252.3;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;9;1:48.916;0;;23.213;0;41.028;0;44.675;0;182.3;16:23.510;17:16:11.938;0:23.213;0:41.028;0:44.675;251.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;10;1:49.175;0;;23.221;0;41.051;0;44.903;0;181.9;18:12.685;17:18:01.113;0:23.221;0:41.051;0:44.903;254.1;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;11;1:49.751;0;;23.263;0;41.701;0;44.787;0;180.9;20:02.436;17:19:50.864;0:23.263;0:41.701;0:44.787;274.1;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;12;1:51.221;0;;23.603;0;42.932;0;44.686;0;178.5;21:53.657;17:21:42.085;0:23.603;0:42.932;0:44.686;287.2;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;13;1:51.462;0;;24.238;0;41.808;0;45.416;0;178.2;23:45.119;17:23:33.547;0:24.238;0:41.808;0:45.416;264.1;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;14;1:50.282;0;;23.489;0;41.900;0;44.893;0;180.1;25:35.401;17:25:23.829;0:23.489;0:41.900;0:44.893;251.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;15;1:52.181;0;;23.362;0;43.104;0;45.715;0;177.0;27:27.582;17:27:16.010;0:23.362;0:43.104;0:45.715;285.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;16;1:48.953;0;;23.312;0;41.015;0;44.626;0;182.3;29:16.535;17:29:04.963;0:23.312;0:41.015;0:44.626;251.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;17;1:49.002;0;;23.304;0;41.104;0;44.594;0;182.2;31:05.537;17:30:53.965;0:23.304;0:41.104;0:44.594;252.3;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;18;1:50.026;0;;23.290;0;41.901;0;44.835;0;180.5;32:55.563;17:32:43.991;0:23.290;0:41.901;0:44.835;274.1;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;19;1:49.682;0;;23.296;0;41.676;0;44.710;0;181.0;34:45.245;17:34:33.673;0:23.296;0:41.676;0:44.710;273.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;20;1:50.380;0;;23.447;0;41.922;0;45.011;0;179.9;36:35.625;17:36:24.053;0:23.447;0:41.922;0:45.011;258.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;21;1:49.570;0;;23.653;0;41.224;0;44.693;0;181.2;38:25.195;17:38:13.623;0:23.653;0:41.224;0:44.693;263.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;22;1:52.155;0;;23.532;0;42.283;0;46.340;0;177.1;40:17.350;17:40:05.778;0:23.532;0:42.283;0:46.340;267.3;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;23;1:49.242;0;;23.541;0;41.167;0;44.534;0;181.8;42:06.592;17:41:55.020;0:23.541;0:41.167;0:44.534;263.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;24;1:49.250;0;;23.167;0;41.310;0;44.773;0;181.8;43:55.842;17:43:44.270;0:23.167;0:41.310;0:44.773;254.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;25;1:51.190;0;;23.246;0;41.469;0;46.475;0;178.6;45:47.032;17:45:35.460;0:23.246;0:41.469;0:46.475;270.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;26;1:51.134;0;;23.266;0;41.719;0;46.149;0;178.7;47:38.166;17:47:26.594;0:23.266;0:41.719;0:46.149;252.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;27;1:50.796;0;;23.580;0;42.610;0;44.606;0;179.2;49:28.962;17:49:17.390;0:23.580;0:42.610;0:44.606;270.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;28;1:51.264;0;B;23.101;0;42.445;0;45.718;0;178.5;51:20.226;17:51:08.654;0:23.101;0:42.445;0:45.718;264.1;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;2;29;3:11.263;0;;1:43.148;0;41.956;0;46.159;0;103.8;54:31.489;17:54:19.917;1:43.148;0:41.956;0:46.159;284.2;Brendon HARTLEY;0:01:24.589;LMP1;H;Porsche Team;Porsche;
1;2;30;1:51.516;0;;23.542;0;41.975;0;45.999;0;178.1;56:23.005;17:56:11.433;0:23.542;0:41.975;0:45.999;264.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;31;1:50.460;0;;23.443;0;41.495;0;45.522;0;179.8;58:13.465;17:58:01.893;0:23.443;0:41.495;0:45.522;276.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;32;1:49.741;0;;23.203;0;41.746;0;44.792;0;180.9;1:00:03.206;17:59:51.634;0:23.203;0:41.746;0:44.792;266.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;33;1:52.388;0;;23.302;0;42.333;0;46.753;0;176.7;1:01:55.594;18:01:44.022;0:23.302;0:42.333;0:46.753;283.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
