NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;1:26.939;0;;18.080;0;26.662;0;42.197;0;188.9;1:26.939;10:59:56.027;0:18.080;0:26.662;0:42.197;247.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;2;1:26.081;0;;19.252;0;25.952;0;40.877;0;190.8;2:53.020;11:01:22.108;0:19.252;0:25.952;0:40.877;270.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;3;1:25.631;0;;19.096;0;25.847;0;40.688;0;191.8;4:18.651;11:02:47.739;0:19.096;0:25.847;0:40.688;268.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;4;1:25.474;0;;19.018;0;25.797;0;40.659;2;192.2;5:44.125;11:04:13.213;0:19.018;0:25.797;0:40.659;271.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;5;1:25.654;0;;19.251;0;25.724;0;40.679;0;191.8;7:09.779;11:05:38.867;0:19.251;0:25.724;0:40.679;271.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;6;1:25.311;2;;19.017;0;25.577;2;40.717;0;192.6;8:35.090;11:07:04.178;0:19.017;0:25.577;0:40.717;271.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;7;1:27.382;0;;19.409;0;26.340;0;41.633;0;188.0;10:02.472;11:08:31.560;0:19.409;0:26.340;0:41.633;273.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;8;1:26.396;0;;19.329;0;26.212;0;40.855;0;190.1;11:28.868;11:09:57.956;0:19.329;0:26.212;0:40.855;275.5;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;9;1:25.473;0;;19.077;0;25.668;0;40.728;0;192.2;12:54.341;11:11:23.429;0:19.077;0:25.668;0:40.728;270.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;10;1:25.812;0;;19.072;0;26.005;0;40.735;0;191.4;14:20.153;11:12:49.241;0:19.072;0:26.005;0:40.735;272.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;11;1:26.751;0;;19.056;0;26.184;0;41.511;0;189.4;15:46.904;11:14:15.992;0:19.056;0:26.184;0:41.511;275.5;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;12;1:27.387;0;;19.131;0;26.590;0;41.666;0;188.0;17:14.291;11:15:43.379;0:19.131;0:26.590;0:41.666;271.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;13;1:27.109;0;;19.153;0;26.267;0;41.689;0;188.6;18:41.400;11:17:10.488;0:19.153;0:26.267;0:41.689;270.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;14;1:26.600;0;;19.126;0;26.491;0;40.983;0;189.7;20:08.000;11:18:37.088;0:19.126;0:26.491;0:40.983;272.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;15;1:26.867;0;;19.128;0;26.582;0;41.157;0;189.1;21:34.867;11:20:03.955;0:19.128;0:26.582;0:41.157;276.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;16;1:25.906;0;;19.184;0;25.698;0;41.024;0;191.2;23:00.773;11:21:29.861;0:19.184;0:25.698;0:41.024;271.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;17;1:25.988;0;;19.140;0;25.721;0;41.127;0;191.0;24:26.761;11:22:55.849;0:19.140;0:25.721;0:41.127;272.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;18;1:25.697;0;;19.097;0;25.717;0;40.883;0;191.7;25:52.458;11:24:21.546;0:19.097;0:25.717;0:40.883;272.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;19;1:26.051;0;;19.127;0;25.692;0;41.232;0;190.9;27:18.509;11:25:47.597;0:19.127;0:25.692;0:41.232;274.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;20;1:27.060;0;;19.165;0;26.387;0;41.508;0;188.7;28:45.569;11:27:14.657;0:19.165;0:26.387;0:41.508;274.1;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;21;1:27.408;0;;19.086;0;25.926;0;42.396;0;187.9;30:12.977;11:28:42.065;0:19.086;0:25.926;0:42.396;280.5;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;22;1:28.669;0;;19.285;0;27.029;0;42.355;0;185.3;31:41.646;11:30:10.734;0:19.285;0:27.029;0:42.355;279.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;23;1:27.908;0;;19.234;0;26.765;0;41.909;0;186.9;33:09.554;11:31:38.642;0:19.234;0:26.765;0:41.909;267.3;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;24;1:27.413;0;;19.300;0;26.625;0;41.488;0;187.9;34:36.967;11:33:06.055;0:19.300;0:26.625;0:41.488;268.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;25;1:26.540;0;;19.128;0;26.014;0;41.398;0;189.8;36:03.507;11:34:32.595;0:19.128;0:26.014;0:41.398;272.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;26;1:26.759;0;;19.176;0;25.855;0;41.728;0;189.3;37:30.266;11:35:59.354;0:19.176;0:25.855;0:41.728;274.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;27;1:26.551;0;;19.185;0;25.850;0;41.516;0;189.8;38:56.817;11:37:25.905;0:19.185;0:25.850;0:41.516;272.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;28;1:26.493;0;;19.272;0;25.842;0;41.379;0;189.9;40:23.310;11:38:52.398;0:19.272;0:25.842;0:41.379;274.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;29;1:27.190;0;;18.968;0;26.204;0;42.018;0;188.4;41:50.500;11:40:19.588;0:18.968;0:26.204;0:42.018;276.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;30;1:26.363;0;;19.142;0;25.886;0;41.335;0;190.2;43:16.863;11:41:45.951;0:19.142;0:25.886;0:41.335;275.5;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;31;1:26.373;0;;19.241;0;26.005;0;41.127;0;190.2;44:43.236;11:43:12.324;0:19.241;0:26.005;0:41.127;268.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
