NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;1:29.600;0;;30.705;0;36.247;0;22.648;0;172.9;1:29.600;13:30:57.483;0:30.705;0:36.247;0:22.648;289.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;2;1:28.258;0;;31.187;0;34.932;0;22.139;0;175.6;2:57.858;13:32:25.741;0:31.187;0:34.932;0:22.139;307.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;3;1:26.423;0;;30.321;0;34.252;0;21.850;0;179.3;4:24.281;13:33:52.164;0:30.321;0:34.252;0:21.850;289.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;4;1:26.636;0;;30.277;0;34.409;0;21.950;0;178.8;5:50.917;13:35:18.800;0:30.277;0:34.409;0:21.950;278.4;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;5;1:26.190;0;;30.230;0;34.076;0;21.884;0;179.8;7:17.107;13:36:44.990;0:30.230;0:34.076;0:21.884;278.4;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;6;1:30.838;0;;30.295;0;38.249;0;22.294;0;170.6;8:47.945;13:38:15.828;0:30.295;0:38.249;0:22.294;280.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;7;1:30.299;0;;30.883;0;36.757;0;22.659;0;171.6;10:18.244;13:39:46.127;0:30.883;0:36.757;0:22.659;280.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;8;1:26.717;0;;30.316;0;34.305;0;22.096;0;178.7;11:44.961;13:41:12.844;0:30.316;0:34.305;0:22.096;281.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;9;1:28.170;0;;30.339;0;34.581;0;23.250;0;175.7;13:13.131;13:42:41.014;0:30.339;0:34.581;0:23.250;278.4;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;10;1:28.402;0;;30.681;0;35.745;0;21.976;0;175.3;14:41.533;13:44:09.416;0:30.681;0:35.745;0:21.976;276.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;11;1:28.502;0;;30.326;0;35.870;0;22.306;0;175.1;16:10.035;13:45:37.918;0:30.326;0:35.870;0:22.306;279.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;12;1:27.117;0;;30.404;0;34.437;0;22.276;0;177.9;17:37.152;13:47:05.035;0:30.404;0:34.437;0:22.276;279.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;13;1:27.753;0;;30.440;0;34.379;0;22.934;0;176.6;19:04.905;13:48:32.788;0:30.440;0:34.379;0:22.934;285.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;14;1:30.300;0;;30.434;0;37.789;0;22.077;0;171.6;20:35.205;13:50:03.088;0:30.434;0:37.789;0:22.077;279.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;15;1:28.944;0;;30.541;0;36.217;0;22.186;0;174.2;22:04.149;13:51:32.032;0:30.541;0:36.217;0:22.186;278.4;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;16;1:26.690;0;;30.466;0;34.327;0;21.897;0;178.7;23:30.839;13:52:58.722;0:30.466;0:34.327;0:21.897;275.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;17;1:27.114;0;;30.423;0;34.296;0;22.395;0;177.9;24:57.953;13:54:25.836;0:30.423;0:34.296;0:22.395;279.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;18;1:32.094;0;;30.454;0;38.958;0;22.682;0;168.2;26:30.047;13:55:57.930;0:30.454;0:38.958;0:22.682;284.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;19;1:28.655;0;;30.128;0;35.475;0;23.052;0;174.8;27:58.702;13:57:26.585;0:30.128;0:35.475;0:23.052;286.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;20;1:28.425;0;;30.364;0;35.628;0;22.433;0;175.2;29:27.127;13:58:55.010;0:30.364;0:35.628;0:22.433;279.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;21;1:28.322;0;;30.570;0;34.616;0;23.136;0;175.4;30:55.449;14:00:23.332;0:30.570;0:34.616;0:23.136;295.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;22;1:27.267;0;;30.750;0;34.046;0;22.471;0;177.6;32:22.716;14:01:50.599;0:30.750;0:34.046;0:22.471;273.4;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;23;1:27.858;0;;30.389;0;35.482;0;21.987;0;176.4;33:50.574;14:03:18.457;0:30.389;0:35.482;0:21.987;278.4;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;24;1:26.126;0;;30.216;0;33.857;0;22.053;0;179.9;35:16.700;14:04:44.583;0:30.216;0:33.857;0:22.053;277.6;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;25;1:27.466;0;;30.290;0;35.009;0;22.167;0;177.1;36:44.166;14:06:12.049;0:30.290;0:35.009;0:22.167;276.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;26;1:26.377;0;;30.311;0;34.090;0;21.976;0;179.4;38:10.543;14:07:38.426;0:30.311;0:34.090;0:21.976;276.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;27;1:27.987;0;;30.761;0;35.111;0;22.115;0;176.1;39:38.530;14:09:06.413;0:30.761;0:35.111;0:22.115;285.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;28;1:27.780;0;;30.345;0;34.989;0;22.446;0;176.5;41:06.310;14:10:34.193;0:30.345;0:34.989;0:22.446;292.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;29;1:26.769;0;;30.382;0;34.195;0;22.192;0;178.6;42:33.079;14:12:00.962;0:30.382;0:34.195;0:22.192;286.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;30;1:27.236;0;;30.244;0;35.085;0;21.907;0;177.6;44:00.315;14:13:28.198;0:30.244;0:35.085;0:21.907;291.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;31;1:26.285;0;;29.770;0;34.417;0;22.098;0;179.6;45:26.600;14:14:54.483;0:29.770;0:34.417;0:22.098;296.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;32;1:26.614;0;;30.093;0;34.622;0;21.899;0;178.9;46:53.214;14:16:21.097;0:30.093;0:34.622;0:21.899;295.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;33;1:27.686;0;;30.055;0;35.773;0;21.858;0;176.7;48:20.900;14:17:48.783;0:30.055;0:35.773;0:21.858;299.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;34;1:28.245;0;;30.246;0;34.596;0;23.403;0;175.6;49:49.145;14:19:17.028;0:30.246;0:34.596;0:23.403;288.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;35;2:11.960;0;B;29.792;0;1:01.407;0;40.761;0;117.4;52:01.105;14:21:28.988;0:29.792;1:01.407;0:40.761;296.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;1;36;4:14.765;0;;2:25.102;0;1:07.804;0;41.859;0;60.8;56:15.870;14:25:43.753;2:25.102;1:07.804;0:41.859;79.7;Mark WEBBER;0:01:18.239;LMP1;H;Porsche Team;Porsche;
1;1;37;3:17.049;0;;1:24.829;0;1:09.576;0;42.644;0;78.6;59:32.919;14:29:00.802;1:24.829;1:09.576;0:42.644;79.5;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;38;1:52.737;0;;54.864;0;35.632;0;22.241;0;137.4;1:01:25.656;14:30:53.539;0:54.864;0:35.632;0:22.241;232.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;39;1:28.507;0;;31.118;0;35.450;0;21.939;0;175.1;1:02:54.163;14:32:22.046;0:31.118;0:35.450;0:21.939;276.2;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
