NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:44.743;0;;50.027;0;36.220;0;18.496;0;176.6;1:44.743;13:01:35.917;0:50.027;0:36.220;0:18.496;267.1;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;2;1:41.306;0;;47.277;0;35.712;0;18.317;0;182.5;3:26.049;13:03:17.223;0:47.277;0:35.712;0:18.317;276.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;3;1:40.785;0;;47.010;0;35.604;0;18.171;0;183.5;5:06.834;13:04:58.008;0:47.010;0:35.604;0:18.171;274.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;4;1:40.609;2;;46.987;0;35.648;0;17.974;2;183.8;6:47.443;13:06:38.617;0:46.987;0:35.648;0:17.974;278.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;5;1:40.658;0;;46.888;2;35.676;0;18.094;0;183.7;8:28.101;13:08:19.275;0:46.888;0:35.676;0:18.094;279.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;6;1:42.436;0;;47.166;0;35.791;0;19.479;0;180.5;10:10.537;13:10:01.711;0:47.166;0:35.791;0:19.479;284.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;7;1:44.602;0;;48.787;0;37.417;0;18.398;0;176.8;11:55.139;13:11:46.313;0:48.787;0:37.417;0:18.398;266.5;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;8;1:41.654;0;;47.547;0;35.847;0;18.260;0;181.9;13:36.793;13:13:27.967;0:47.547;0:35.847;0:18.260;279.9;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;9;1:41.317;0;;47.427;0;35.685;0;18.205;0;182.5;15:18.110;13:15:09.284;0:47.427;0:35.685;0:18.205;277.9;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;10;1:42.836;0;;47.990;0;35.834;0;19.012;0;179.8;17:00.946;13:16:52.120;0:47.990;0:35.834;0:19.012;284.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;11;1:42.385;0;;47.782;0;35.912;0;18.691;0;180.6;18:43.331;13:18:34.505;0:47.782;0:35.912;0:18.691;283.3;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;12;1:43.810;0;;48.076;0;36.747;0;18.987;0;178.1;20:27.141;13:20:18.315;0:48.076;0:36.747;0:18.987;274.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;13;1:45.032;0;;47.850;0;38.434;0;18.748;0;176.1;22:12.173;13:22:03.347;0:47.850;0:38.434;0:18.748;265.3;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;14;1:43.639;0;;47.693;0;36.757;0;19.189;0;178.4;23:55.812;13:23:46.986;0:47.693;0:36.757;0:19.189;283.3;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;15;1:44.373;0;;49.220;0;36.605;0;18.548;0;177.2;25:40.185;13:25:31.359;0:49.220;0:36.605;0:18.548;268.3;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;16;1:43.095;0;;47.782;0;36.433;0;18.880;0;179.4;27:23.280;13:27:14.454;0:47.782;0:36.433;0:18.880;275.9;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;17;1:41.960;0;;47.633;0;36.094;0;18.233;0;181.4;29:05.240;13:28:56.414;0:47.633;0:36.094;0:18.233;286.1;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;18;1:41.808;0;;47.494;0;35.998;0;18.316;0;181.6;30:47.048;13:30:38.222;0:47.494;0:35.998;0:18.316;286.1;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;19;1:42.099;0;;47.575;0;35.864;0;18.660;0;181.1;32:29.147;13:32:20.321;0:47.575;0:35.864;0:18.660;281.9;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;20;1:44.257;0;;49.433;0;36.406;0;18.418;0;177.4;34:13.404;13:34:04.578;0:49.433;0:36.406;0:18.418;278.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;21;1:47.162;0;;48.496;0;38.901;0;19.765;0;172.6;36:00.566;13:35:51.740;0:48.496;0:38.901;0:19.765;286.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;22;1:43.920;0;;48.650;0;36.863;0;18.407;0;178.0;37:44.486;13:37:35.660;0:48.650;0:36.863;0:18.407;271.5;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;23;1:41.870;0;;47.613;0;35.870;0;18.387;0;181.5;39:26.356;13:39:17.530;0:47.613;0:35.870;0:18.387;285.4;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;24;1:42.924;0;;47.898;0;36.545;0;18.481;0;179.7;41:09.280;13:41:00.454;0:47.898;0:36.545;0:18.481;280.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;25;1:42.052;0;;47.915;0;35.872;0;18.265;0;181.2;42:51.332;13:42:42.506;0:47.915;0:35.872;0:18.265;284.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;26;1:43.880;0;;47.578;0;36.727;0;19.575;0;178.0;44:35.212;13:44:26.386;0:47.578;0:36.727;0:19.575;274.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;27;1:41.619;0;;47.622;0;35.840;0;18.157;0;182.0;46:16.831;13:46:08.005;0:47.622;0:35.840;0:18.157;289.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;28;1:44.256;0;;47.690;0;38.256;0;18.310;0;177.4;48:01.087;13:47:52.261;0:47.690;0:38.256;0:18.310;281.9;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;29;1:43.399;0;;47.967;0;36.674;0;18.758;0;178.9;49:44.486;13:49:35.660;0:47.967;0:36.674;0:18.758;293.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;30;1:42.061;0;;47.943;0;35.928;0;18.190;0;181.2;51:26.547;13:51:17.721;0:47.943;0:35.928;0:18.190;290.3;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;31;1:47.518;0;B;48.091;0;35.517;2;23.910;0;172.0;53:14.065;13:53:05.239;0:48.091;0:35.517;0:23.910;301.5;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
