NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;1:53.021;0;;36.731;0;39.488;0;36.802;0;173.6;1:53.021;11:01:27.099;0:36.731;0:39.488;0:36.802;283.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;2;2:42.751;0;;1:02.128;0;56.541;0;44.082;0;120.6;4:35.772;11:04:09.850;1:02.128;0:56.541;0:44.082;229.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;3;2:33.565;0;;54.662;0;55.935;0;42.968;0;127.8;7:09.337;11:06:43.415;0:54.662;0:55.935;0:42.968;190.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;4;1:46.919;0;;36.954;0;38.394;0;31.571;0;183.5;8:56.256;11:08:30.334;0:36.954;0:38.394;0:31.571;285.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;5;1:46.374;0;;36.643;0;38.354;0;31.377;0;184.5;10:42.630;11:10:16.708;0:36.643;0:38.354;0:31.377;287.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;6;1:46.007;0;;36.452;0;38.281;0;31.274;0;185.1;12:28.637;11:12:02.715;0:36.452;0:38.281;0:31.274;287.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;7;1:45.935;3;;36.532;0;38.067;3;31.336;0;185.2;14:14.572;11:13:48.650;0:36.532;0:38.067;0:31.336;288.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;8;1:47.117;0;;36.431;2;39.137;0;31.549;0;183.2;16:01.689;11:15:35.767;0:36.431;0:39.137;0:31.549;286.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;9;1:47.599;0;;36.806;0;39.425;0;31.368;0;182.4;17:49.288;11:17:23.366;0:36.806;0:39.425;0:31.368;288.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;10;1:47.307;0;;36.954;0;38.910;0;31.443;0;182.9;19:36.595;11:19:10.673;0:36.954;0:38.910;0:31.443;288.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;11;1:46.575;0;;36.643;0;38.516;0;31.416;0;184.1;21:23.170;11:20:57.248;0:36.643;0:38.516;0:31.416;286.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;12;1:47.138;0;;36.688;0;38.879;0;31.571;0;183.2;23:10.308;11:22:44.386;0:36.688;0:38.879;0:31.571;288.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;13;1:47.625;0;;36.757;0;39.181;0;31.687;0;182.3;24:57.933;11:24:32.011;0:36.757;0:39.181;0:31.687;289.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;14;1:48.744;0;;37.526;0;38.984;0;32.234;0;180.5;26:46.677;11:26:20.755;0:37.526;0:38.984;0:32.234;287.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;15;1:49.152;0;;37.525;0;39.997;0;31.630;0;179.8;28:35.829;11:28:09.907;0:37.525;0:39.997;0:31.630;287.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;16;1:47.751;0;;36.932;0;39.245;0;31.574;0;182.1;30:23.580;11:29:57.658;0:36.932;0:39.245;0:31.574;285.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;17;1:47.821;0;;37.041;0;38.955;0;31.825;0;182.0;32:11.401;11:31:45.479;0:37.041;0:38.955;0:31.825;285.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;18;1:48.912;0;;38.025;0;39.179;0;31.708;0;180.2;34:00.313;11:33:34.391;0:38.025;0:39.179;0:31.708;286.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;19;1:47.708;0;;37.041;0;39.070;0;31.597;0;182.2;35:48.021;11:35:22.099;0:37.041;0:39.070;0:31.597;287.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;20;1:47.775;0;;36.887;0;39.000;0;31.888;0;182.1;37:35.796;11:37:09.874;0:36.887;0:39.000;0:31.888;285.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;21;1:47.983;0;;37.353;0;39.144;0;31.486;0;181.7;39:23.779;11:38:57.857;0:37.353;0:39.144;0:31.486;285.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;22;1:48.634;0;;37.136;0;39.928;0;31.570;0;180.6;41:12.413;11:40:46.491;0:37.136;0:39.928;0:31.570;284.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;23;1:47.777;0;;37.231;0;39.034;0;31.512;0;182.1;43:00.190;11:42:34.268;0:37.231;0:39.034;0:31.512;288.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;24;1:47.987;0;;36.964;0;39.332;0;31.691;0;181.7;44:48.177;11:44:22.255;0:36.964;0:39.332;0:31.691;290.3;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;25;1:49.609;0;;36.922;0;40.648;0;32.039;0;179.0;46:37.786;11:46:11.864;0:36.922;0:40.648;0:32.039;289.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;26;1:47.870;0;;37.477;0;38.805;0;31.588;0;181.9;48:25.656;11:47:59.734;0:37.477;0:38.805;0:31.588;288.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;27;1:48.373;0;;37.206;0;39.206;0;31.961;0;181.1;50:14.029;11:49:48.107;0:37.206;0:39.206;0:31.961;288.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;28;1:48.336;0;;37.364;0;38.902;0;32.070;0;181.1;52:02.365;11:51:36.443;0:37.364;0:38.902;0:32.070;286.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;29;1:49.232;0;;37.974;0;39.218;0;32.040;0;179.7;53:51.597;11:53:25.675;0:37.974;0:39.218;0:32.040;285.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;30;1:53.577;0;B;37.056;0;39.264;0;37.257;0;172.8;55:45.174;11:55:19.252;0:37.056;0:39.264;0:37.257;291.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;31;2:56.505;0;;1:45.708;0;39.073;0;31.724;0;111.2;58:41.679;11:58:15.757;1:45.708;0:39.073;0:31.724;288.0;Brendon HARTLEY;0:01:13.579;LMP1;H;Porsche Team;Porsche;
1;2;32;1:47.495;0;;36.894;0;39.040;0;31.561;0;182.6;1:00:29.174;12:00:03.252;0:36.894;0:39.040;0:31.561;285.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;33;1:47.683;0;;36.883;0;39.235;0;31.565;0;182.2;1:02:16.857;12:01:50.935;0:36.883;0:39.235;0:31.565;281.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;34;1:47.249;0;;36.834;0;38.696;0;31.719;0;183.0;1:04:04.106;12:03:38.184;0:36.834;0:38.696;0:31.719;284.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;35;1:48.171;0;;37.346;0;38.813;0;32.012;0;181.4;1:05:52.277;12:05:26.355;0:37.346;0:38.813;0:32.012;285.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;36;1:48.369;0;;37.246;0;39.553;0;31.570;0;181.1;1:07:40.646;12:07:14.724;0:37.246;0:39.553;0:31.570;285.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;37;1:47.972;0;;36.792;0;39.463;0;31.717;0;181.7;1:09:28.618;12:09:02.696;0:36.792;0:39.463;0:31.717;284.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;38;1:48.636;0;;37.202;0;39.504;0;31.930;0;180.6;1:11:17.254;12:10:51.332;0:37.202;0:39.504;0:31.930;291.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;39;1:47.711;0;;37.096;0;39.155;0;31.460;0;182.2;1:13:04.965;12:12:39.043;0:37.096;0:39.155;0:31.460;287.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;40;1:48.007;0;;37.069;0;39.463;0;31.475;0;181.7;1:14:52.972;12:14:27.050;0:37.069;0:39.463;0:31.475;288.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;41;1:48.787;0;;37.169;0;40.102;0;31.516;0;180.4;1:16:41.759;12:16:15.837;0:37.169;0:40.102;0:31.516;288.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;42;1:47.505;0;;36.983;0;39.032;0;31.490;0;182.5;1:18:29.264;12:18:03.342;0:36.983;0:39.032;0:31.490;286.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;43;1:47.220;0;;36.890;0;38.873;0;31.457;0;183.0;1:20:16.484;12:19:50.562;0:36.890;0:38.873;0:31.457;288.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;44;1:48.531;0;;37.256;0;39.850;0;31.425;0;180.8;1:22:05.015;12:21:39.093;0:37.256;0:39.850;0:31.425;288.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;45;1:47.425;0;;36.878;0;38.977;0;31.570;0;182.7;1:23:52.440;12:23:26.518;0:36.878;0:38.977;0:31.570;286.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;46;1:48.971;0;;37.419;0;40.019;0;31.533;0;180.1;1:25:41.411;12:25:15.489;0:37.419;0:40.019;0:31.533;289.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;47;1:48.993;0;;37.272;0;39.965;0;31.756;0;180.0;1:27:30.404;12:27:04.482;0:37.272;0:39.965;0:31.756;290.3;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;48;1:47.772;0;;37.003;0;39.418;0;31.351;0;182.1;1:29:18.176;12:28:52.254;0:37.003;0:39.418;0:31.351;291.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;49;1:47.895;0;;37.214;0;38.793;0;31.888;0;181.9;1:31:06.071;12:30:40.149;0:37.214;0:38.793;0:31.888;284.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;50;1:48.333;0;;37.359;0;39.069;0;31.905;0;181.1;1:32:54.404;12:32:28.482;0:37.359;0:39.069;0:31.905;291.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;51;1:48.091;0;;37.212;0;39.270;0;31.609;0;181.5;1:34:42.495;12:34:16.573;0:37.212;0:39.270;0:31.609;289.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;52;1:48.712;0;;37.371;0;39.978;0;31.363;0;180.5;1:36:31.207;12:36:05.285;0:37.371;0:39.978;0:31.363;291.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;53;1:48.077;0;;37.207;0;39.421;0;31.449;0;181.6;1:38:19.284;12:37:53.362;0:37.207;0:39.421;0:31.449;294.3;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;54;1:47.891;0;;37.106;0;39.264;0;31.521;0;181.9;1:40:07.175;12:39:41.253;0:37.106;0:39.264;0:31.521;289.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;55;1:48.253;0;;37.315;0;39.262;0;31.676;0;181.3;1:41:55.428;12:41:29.506;0:37.315;0:39.262;0:31.676;285.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;56;1:48.456;0;;37.783;0;39.178;0;31.495;0;180.9;1:43:43.884;12:43:17.962;0:37.783;0:39.178;0:31.495;285.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;57;1:47.981;0;;37.284;0;39.218;0;31.479;0;181.7;1:45:31.865;12:45:05.943;0:37.284;0:39.218;0:31.479;289.5;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;58;1:47.703;0;;37.212;0;38.945;0;31.546;0;182.2;1:47:19.568;12:46:53.646;0:37.212;0:38.945;0:31.546;288.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;59;1:49.109;0;;37.478;0;39.680;0;31.951;0;179.9;1:49:08.677;12:48:42.755;0:37.478;0:39.680;0:31.951;291.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;60;1:53.753;0;B;37.403;0;39.055;0;37.295;0;172.5;1:51:02.430;12:50:36.508;0:37.403;0:39.055;0:37.295;295.1;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;0;61;3:11.980;0;;1:59.581;0;40.818;0;31.581;0;102.2;1:54:14.410;12:53:48.488;1:59.581;0:40.818;0:31.581;283.5;Timo BERNHARD;0:01:26.972;LMP1;H;Porsche Team;Porsche;
1;0;62;1:47.124;0;;36.773;0;39.018;0;31.333;0;183.2;1:56:01.534;12:55:35.612;0:36.773;0:39.018;0:31.333;289.5;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;63;1:47.686;0;;37.027;0;39.068;0;31.591;0;182.2;1:57:49.220;12:57:23.298;0:37.027;0:39.068;0:31.591;288.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;64;1:47.643;0;;37.134;0;39.085;0;31.424;0;182.3;1:59:36.863;12:59:10.941;0:37.134;0:39.085;0:31.424;288.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;65;1:48.613;0;;36.896;0;40.150;0;31.567;0;180.7;2:01:25.476;13:00:59.554;0:36.896;0:40.150;0:31.567;288.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;66;1:47.302;0;;36.907;0;38.922;0;31.473;0;182.9;2:03:12.778;13:02:46.856;0:36.907;0:38.922;0:31.473;289.5;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
